Transition Profile during evaluation with reward shaping:
Q-table shape: (10, 10, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [5, 5, 6, 7]
Bins length: 4
Bins: [array([  0.,  58., 116., 174., 232., 290.]), array([1.000000e-02, 5.998080e+02, 1.199606e+03, 1.799404e+03,
       2.399202e+03, 2.999000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 1000
State: [10.  61.4 14.   8. ], Action: 0, Reward: -614.0, Next state: [20.   49.01 15.    8.  ]
State: [20.   49.01 15.    8.  ], Action: 0, Reward: -490.09999999999997, Next state: [30. 48. 16.  8.]
State: [30. 48. 16.  8.], Action: 0, Reward: -480.0, Next state: [40.   49.66 17.    8.  ]
State: [40.   49.66 17.    8.  ], Action: 0, Reward: -496.59999999999997, Next state: [50.   63.08 18.    8.  ]
State: [50.   63.08 18.    8.  ], Action: 0, Reward: -630.8, Next state: [60.   55.63 19.    8.  ]
State: [60.   55.63 19.    8.  ], Action: 0, Reward: -556.3000000000001, Next state: [70.   47.15 20.    8.  ]
State: [70.   47.15 20.    8.  ], Action: 0, Reward: -471.5, Next state: [80.   41.49 21.    8.  ]
State: [80.   41.49 21.    8.  ], Action: 0, Reward: -414.90000000000003, Next state: [90.   34.99 22.    8.  ]
State: [90.   34.99 22.    8.  ], Action: 0, Reward: -349.90000000000003, Next state: [100.    36.04  23.     8.  ]
State: [100.    36.04  23.     8.  ], Action: 0, Reward: -360.4, Next state: [110.   54.9  24.    8. ]
State: [110.   54.9  24.    8. ], Action: 0, Reward: -549.0, Next state: [ 0.   30.04  1.    9.  ]
State: [ 0.   30.04  1.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0. 28.  2.  9.]
State: [ 0. 28.  2.  9.], Action: 0, Reward: -0.0, Next state: [ 0.   46.16  3.    9.  ]
State: [ 0.   46.16  3.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0.   27.53  4.    9.  ]
State: [ 0.   27.53  4.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0. 25.  5.  9.]
State: [ 0. 25.  5.  9.], Action: 0, Reward: -0.0, Next state: [ 0. 22.  6.  9.]
State: [ 0. 22.  6.  9.], Action: 0, Reward: -0.0, Next state: [ 0.   30.24  7.    9.  ]
State: [ 0.   30.24  7.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0. 33.  8.  9.]
State: [ 0. 33.  8.  9.], Action: 0, Reward: -0.0, Next state: [ 0. 37.  9.  9.]
State: [ 0. 37.  9.  9.], Action: 0, Reward: -0.0, Next state: [ 0.   42.99 10.    9.  ]
